UGDS,UGDS_WOMEN,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,PCIP14,PCIP11,PCIP13,PCIP04,PCIP23,PCIP16,PCIP26,PCIP27,PCIP38,PCIP42,PCIP52,PCIP54,year
1404,16114.0,0.5357,0.0,0.0,6556.0,0.1241,0.0036,0.0457,0.0269,0.0504,0.016,0.0679,0.0083,0.0018,0.0773,0.1753,0.016,1996
1327,16192.0,0.5382,0.0,0.0,6955.0,0.1047,0.0076,0.0426,0.043,0.0628,0.0094,0.069,0.004,0.0054,0.1051,0.1817,0.0159,1997
1284,16286.0,0.545,0.0,0.0,7293.0,0.1191,0.0125,0.0638,0.0213,0.0476,0.0192,0.085,0.0034,0.0034,0.1049,0.1505,0.0182,1998
1267,16104.0,0.5438,0.0,0.0,7490.0,0.1102,0.0116,0.0523,0.0232,0.0586,0.0168,0.0772,0.0067,0.0046,0.1158,0.1916,0.0133,1999
1246,0.0,0.0,4800.0,11264.0,0.0,0.0987,0.015,0.0584,0.0184,0.0516,0.0208,0.0922,0.0038,0.0048,0.1048,0.209,0.0161,2000
1240,15773.0,0.5497,5620.0,12280.0,7692.0,0.1074,0.0189,0.0517,0.0233,0.0595,0.018000000000000002,0.0797,0.0066,0.0047,0.1109,0.2108,0.0186,2001
1223,16473.0,0.5489999999999999,6592.0,13920.0,7371.0,0.1072,0.0195,0.0446,0.0217,0.0739,0.0129,0.0823,0.006,0.0063,0.0924,0.2112,0.0189,2002
1209,15943.0,0.547,6958.0,16654.0,7764.0,0.0975,0.0644,0.0457,0.0267,0.0432,0.0089,0.0831,0.0064,0.0046,0.0908,0.1736,0.0138,2003
1178,15402.0,0.5417,7824.0,19072.0,7847.0,0.0993,0.0469,0.0487,0.0282,0.0392,0.0135,0.0987,0.0083,0.0055,0.0914,0.1769,0.0166,2004
1169,15029.0,0.5338,8498.0,20888.0,8142.0,0.0984,0.0324,0.0603,0.0171,0.0314,0.0137,0.1061,0.0092,0.0048,0.0943,0.1972,0.0194,2005
1161,14944.0,0.536,9742.0,22132.0,8445.0,0.0983,0.0229,0.0468,0.0242,0.0345,0.0085,0.12,0.0113,0.0063,0.1071,0.1866,0.0204,2006
1145,15565.0,0.5293,10546.0,22936.0,8716.0,0.087,0.0189,0.0511,0.0271,0.0359,0.0107,0.1181,0.0076,0.0046,0.1153,0.1686,0.0225,2007
1139,15576.0,0.5285,11716.0,24106.0,8807.0,0.0924,0.0187,0.043,0.0271,0.0397,0.0129,0.1077,0.0075,0.006,0.1156,0.1869,0.0175,2008
1123,15986.0,0.5238,12034.0,24424.0,8897.0,0.0914,0.0183,0.0414,0.0207,0.0326,0.0104,0.1042,0.0121,0.0059,0.1187,0.1956,0.016,2009
1120,16697.0,0.5226,12056.0,24446.0,9092.0,0.0837,0.0167,0.0448,0.0278,0.0353,0.0111,0.11900000000000001,0.0093,0.0048,0.1306,0.177,0.0173,2010
1113,16789.0,0.5221,12656.0,25046.0,9334.0,0.09699999999999999,0.0227,0.0459,0.0193,0.0329,0.0102,0.1146,0.0142,0.0026,0.1356,0.1676,0.0176,2011
1099,16593.0,0.5149,13122.0,25512.0,9770.0,0.0879,0.0228,0.0433,0.0173,0.0383,0.0131,0.128,0.0118,0.0042,0.1364,0.1597,0.0189,2012
1073,16601.0,0.5036,13410.0,25800.0,9797.0,0.0929,0.0197,0.037000000000000005,0.0129,0.0289,0.015,0.1297,0.0108,0.0042,0.1462,0.1596,0.0158,2013
1057,16635.0,0.5018,13634.0,26024.0,10600.0,0.1094,0.0282,0.028999999999999998,0.013000000000000001,0.0306,0.0133,0.1321,0.0152,0.0056,0.1371,0.1547,0.0152,2014
1012,17368.0,0.5018,13664.0,26520.0,10611.0,0.1158,0.0353,0.0255,0.0133,0.0252,0.0106,0.1302,0.0103,0.0035,0.1334,0.1513,0.0127,2015
985,17804.0,0.5048,13664.0,26520.0,10852.0,0.1247,0.0437,0.0253,0.0102,0.0253,0.011000000000000001,0.1429,0.01,0.0026,0.1268,0.147,0.0112,2016
965,19106.0,0.509,13704.0,26560.0,11177.0,0.1271,0.0531,0.0191,0.0163,0.022000000000000002,0.0082,0.1384,0.0089,0.0026,0.1271,0.1491,0.0071,2017
924,20435.0,0.5175,13764.0,26980.0,11151.0,0.1306,0.0626,0.0219,0.0118,0.0226,0.0088,0.138,0.0098,0.0012,0.1161,0.1498,0.0071,2018
